week,year
1/1/2015,2015
1/2/2015,2015
1/3/2015,2015
1/4/2015,2015
1/5/2015,2015
1/6/2015,2015
1/7/2015,2015
1/8/2015,2015
1/9/2015,2015
1/10/2015,2015
1/11/2015,2015
1/12/2015,2015
1/13/2015,2015
1/14/2015,2015
1/15/2015,2015
1/16/2015,2015
1/17/2015,2015
1/18/2015,2015
1/19/2015,2015
1/20/2015,2015
1/21/2015,2015
1/22/2015,2015
1/23/2015,2015
1/24/2015,2015
1/25/2015,2015
1/26/2015,2015
1/27/2015,2015
1/28/2015,2015
1/29/2015,2015
1/30/2015,2015
1/31/2015,2015
2/1/2015,2015
2/2/2015,2015
2/3/2015,2015
2/4/2015,2015
2/5/2015,2015
2/6/2015,2015
2/7/2015,2015
2/8/2015,2015
2/9/2015,2015
2/10/2015,2015
2/11/2015,2015
2/12/2015,2015
2/13/2015,2015
2/14/2015,2015
2/15/2015,2015
2/16/2015,2015
2/17/2015,2015
2/18/2015,2015
2/19/2015,2015
2/20/2015,2015
2/21/2015,2015
2/22/2015,2015
2/23/2015,2015
2/24/2015,2015
2/25/2015,2015
2/26/2015,2015
2/27/2015,2015
2/28/2015,2015
3/1/2015,2015
3/2/2015,2015
3/3/2015,2015
3/4/2015,2015
3/5/2015,2015
3/6/2015,2015
3/7/2015,2015
3/8/2015,2015
3/9/2015,2015
3/10/2015,2015
3/11/2015,2015
3/12/2015,2015
3/13/2015,2015
3/14/2015,2015
3/15/2015,2015
3/16/2015,2015
3/17/2015,2015
3/18/2015,2015
3/19/2015,2015
3/20/2015,2015
3/21/2015,2015
3/22/2015,2015
3/23/2015,2015
3/24/2015,2015
3/25/2015,2015
3/26/2015,2015
3/27/2015,2015
3/28/2015,2015
3/29/2015,2015
3/30/2015,2015
3/31/2015,2015
4/1/2015,2015
4/2/2015,2015
4/3/2015,2015
4/4/2015,2015
4/5/2015,2015
4/6/2015,2015
4/7/2015,2015
4/8/2015,2015
4/9/2015,2015
4/10/2015,2015
4/11/2015,2015
4/12/2015,2015
4/13/2015,2015
4/14/2015,2015
4/15/2015,2015
4/16/2015,2015
4/17/2015,2015
4/18/2015,2015
4/19/2015,2015
4/20/2015,2015
4/21/2015,2015
4/22/2015,2015
4/23/2015,2015
4/24/2015,2015
4/25/2015,2015
4/26/2015,2015
4/27/2015,2015
4/28/2015,2015
4/29/2015,2015
4/30/2015,2015
5/1/2015,2015
5/2/2015,2015
5/3/2015,2015
5/4/2015,2015
5/5/2015,2015
5/6/2015,2015
5/7/2015,2015
5/8/2015,2015
5/9/2015,2015
5/10/2015,2015
5/11/2015,2015
5/12/2015,2015
5/13/2015,2015
5/14/2015,2015
5/15/2015,2015
5/16/2015,2015
5/17/2015,2015
5/18/2015,2015
5/19/2015,2015
5/20/2015,2015
5/21/2015,2015
5/22/2015,2015
5/23/2015,2015
5/24/2015,2015
5/25/2015,2015
5/26/2015,2015
5/27/2015,2015
5/28/2015,2015
5/29/2015,2015
5/30/2015,2015
5/31/2015,2015
6/1/2015,2015
6/2/2015,2015
6/3/2015,2015
6/4/2015,2015
6/5/2015,2015
6/6/2015,2015
6/7/2015,2015
6/8/2015,2015
6/9/2015,2015
6/10/2015,2015
6/11/2015,2015
6/12/2015,2015
6/13/2015,2015
6/14/2015,2015
6/15/2015,2015
6/16/2015,2015
6/17/2015,2015
6/18/2015,2015
6/19/2015,2015
6/20/2015,2015
6/21/2015,2015
6/22/2015,2015
6/23/2015,2015
6/24/2015,2015
6/25/2015,2015
6/26/2015,2015
6/27/2015,2015
6/28/2015,2015
6/29/2015,2015
6/30/2015,2015
7/1/2015,2015
7/2/2015,2015
7/3/2015,2015
7/4/2015,2015
7/5/2015,2015
7/6/2015,2015
7/7/2015,2015
7/8/2015,2015
7/9/2015,2015
7/10/2015,2015
7/11/2015,2015
7/12/2015,2015
7/13/2015,2015
7/14/2015,2015
7/15/2015,2015
7/16/2015,2015
7/17/2015,2015
7/18/2015,2015
7/19/2015,2015
7/20/2015,2015
7/21/2015,2015
7/22/2015,2015
7/23/2015,2015
7/24/2015,2015
7/25/2015,2015
7/26/2015,2015
7/27/2015,2015
7/28/2015,2015
7/29/2015,2015
7/30/2015,2015
7/31/2015,2015
8/1/2015,2015
8/2/2015,2015
8/3/2015,2015
8/4/2015,2015
8/5/2015,2015
8/6/2015,2015
8/7/2015,2015
8/8/2015,2015
8/9/2015,2015
8/10/2015,2015
8/11/2015,2015
8/12/2015,2015
8/13/2015,2015
8/14/2015,2015
8/15/2015,2015
8/16/2015,2015
8/17/2015,2015
8/18/2015,2015
